Squad,Year,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att.x,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Milan,21/22,GR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,6,123,65,66,50,7,120,47.5,63,78,29,49,58,181,126,6,NA,NA,NA,NA,NA,NA,NA,0.5284552845528455
Club Brugge,21/22,GR,1,6,6,540,6,20,3.3299999999999996,47,27,63.8,1,1,4,0,0,3,3,0,0,2,6,10,1,1,1,1,8.4,0.29000000000000004,-0.6,-0.1,55,120,45.8,223,28,44.8,45.8,60,3,5,13,2.17,10,21,6,110,61,59,37,14,105,44.8,58,74,23,51,90,200,81,0,10,18.333333333333332,15,33.333333333333336,9.833333333333334,2.3333333333333335,Underperformed,0.5545454545454546
Shakhtar,21/22,GR,3,6,6,540,6,12,2,35,24,65.7,0,2,4,1,16.7,0,0,0,0,2,6,12,1,1,2,1,11.3,0.28,0.3,0.05,26,100,26,181,29,34.8,26.4,124,2,1.6,2,0.32999999999999996,14,25,6,71,45,35,24,12,78,39.7,47,56,21,35,48,119,84,6,20.666666666666668,11.833333333333334,8,19.833333333333332,5.833333333333333,2,Overperformed,0.6338028169014085
Dynamo Kyiv,21/22,GR,2,6,6,540,6,11,1.83,28,17,64.3,0,1,5,1,16.7,1,1,0,0,3,6,13,2,0,2,0,16,0.38,3,0.51,26,58,44.8,147,26,27.2,28.1,81,2,2.5,1,0.17,8.5,23,6,105,54,63,34,8,133,33.8,88,66,21,45,73,178,113,4,13.5,17.5,12.166666666666666,29.666666666666668,10.5,1.3333333333333333,Overperformed,0.5142857142857142
Malmö,21/22,GR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,65,41,40,21,4,96,34.4,63,62,18,44,68,133,123,1,NA,NA,NA,NA,NA,NA,NA,0.6307692307692307
Beşiktaş,21/22,GR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,6,124,80,79,37,8,145,39.3,88,86,24,62,83,207,98,0,NA,NA,NA,NA,NA,NA,NA,0.6451612903225806
Chelsea,20/21,W,2,13,13,1170,13,4,0.31,36,32,88.9,9,3,1,9,69.2,0,0,0,0,2,13,4,0,0,2,0,7.3,0.2,3.3,0.25,48,115,41.7,315,53,24.4,25.1,158,7,4.4,5,0.38,8,24,13,199,127,94,80,25,212,45.8,115,154,42,112,146,345,262,2,12.153846153846153,15.307692307692308,11.23076923076923,26.53846153846154,7.230769230769231,1.9230769230769231,Overperformed,0.6381909547738693
Manchester City,20/21,F,2,13,13,1170,13,5,0.38,24,19,79.2,11,1,1,8,61.5,0,0,0,0,2,13,5,0,0,1,0,6.5,0.28,1.5,0.12000000000000001,31,71,43.7,307,58,18.9,21.8,85,4,4.7,19,1.46,NA,25,13,188,99,48,91,49,179,40.8,106,121,26,95,117,305,139,8,6.538461538461538,14.461538461538462,9,23.46153846153846,3.6923076923076925,3.769230769230769,Overperformed,0.526595744680851
Real Madrid,20/21,SF,1,12,12,1080,12,14,1.1700000000000002,39,26,64.1,6,3,3,4,33.3,0,0,0,0,1,12,14,0,1,0,1,15.3,0.4,2.3,0.19,27,109,24.8,370,68,22.2,30.3,116,11,9.5,21,1.75,18.2,25,12,198,104,97,70,31,218,44,122,119,23,96,151,349,138,2,9.666666666666666,16.5,12.583333333333334,29.083333333333332,8.083333333333334,2.5833333333333335,Overperformed,0.5252525252525253
Paris S-G,20/21,SF,1,12,12,1080,12,15,1.25,69,53,82.6,6,1,5,2,16.7,3,3,0,0,1,12,15,3,1,2,0,18.7,0.22,3.7,0.31,47,140,33.6,334,62,32.3,32.7,181,5,2.8,8,0.6699999999999999,12.5,23,12,202,112,102,82,18,222,36.5,141,144,47,97,140,342,249,4,15.083333333333334,16.833333333333332,11.666666666666666,28.5,8.5,1.5,Overperformed,0.5544554455445545
