Squad,Year,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att.x,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Valencia,18/19,GR,2,6,6,540,6,6,1,29,23,89.7,2,2,2,1,16.7,3,3,0,0,2,6,6,3,0,0,0,8.1,0.18,2.1,0.35,32,74,43.2,90,28,48.9,38.7,110,5,4.5,2,0.32999999999999996,11.4,22,6,103,67,61,33,9,94,51.1,46,62,22,40,76,179,114,3,18.333333333333332,17.166666666666668,12.666666666666666,29.833333333333332,10.166666666666666,1.5,Overperformed,0.6504854368932039
Inter,18/19,GR,1,6,6,540,6,7,1.1700000000000002,39,32,82.1,2,2,2,0,0,0,0,0,0,1,6,7,0,0,0,0,8.5,0.22,1.5,0.25,25,54,46.3,159,43,20.1,26.7,81,5,6.2,3,0.5,12,17,6,109,61,65,40,4,104,36.5,66,62,17,45,62,171,125,3,13.5,18.166666666666668,10.333333333333334,28.5,10.833333333333334,0.6666666666666666,Overperformed,0.5596330275229358
CSKA Moscow,18/19,GR,3,6,6,539,6,9,1.5,39,29,76.9,2,1,3,2,33.3,1,0,1,0,3,6,9,0,0,2,0,14.6,0.35,5.6,0.93,45,154,29.2,153,33,67.3,49.3,108,4,3.7,4,0.6699999999999999,11.7,22,6,104,67,66,31,7,111,34.2,73,76,21,55,62,166,187,3,18,17.333333333333332,10.333333333333334,27.666666666666668,11,1.1666666666666667,Overperformed,0.6442307692307693
Benfica,18/19,GR,1,6,6,540,6,11,1.83,35,24,68.6,2,1,3,1,16.7,0,0,0,0,1,6,11,0,0,3,0,13.5,0.4,2.5,0.42000000000000004,41,94,43.6,151,19,50.3,38.2,47,1,2.1,7,1.1700000000000002,18.4,20,6,137,95,68,62,7,120,50.8,59,81,17,64,86,223,116,2,7.833333333333333,22.833333333333332,14.333333333333334,37.166666666666664,11.333333333333334,1.1666666666666667,Overperformed,0.6934306569343066
Viktoria Plzeň,18/19,GR,2,6,6,540,6,16,2.67,43,27,67.4,2,1,3,0,0,2,2,0,0,2,6,16,2,0,3,0,14.7,0.3,-1.3,-0.21000000000000002,59,138,42.8,169,40,55,36.1,110,3,2.7,2,0.32999999999999996,9.5,21,6,81,47,47,28,6,95,44.2,53,67,18,49,64,145,145,1,18.333333333333332,13.5,10.666666666666666,24.166666666666668,7.833333333333333,1,Underperformed,0.5802469135802469
Club Brugge,18/19,GR,2,6,6,540,6,5,0.8300000000000001,22,17,77.3,1,3,2,3,50,0,0,0,0,2,6,5,0,0,1,0,5.9,0.27,0.9,0.15000000000000002,36,105,34.3,118,33,52.5,41.3,81,3,3.7,3,0.5,10.1,25,6,111,60,69,33,9,81,46.9,43,72,13,59,84,195,165,0,13.5,18.5,14,32.5,11.5,1.5,Overperformed,0.5405405405405406
Shakhtar,18/19,GR,1,6,6,540,6,16,2.67,36,20,61.1,1,3,2,0,0,2,2,0,0,1,6,16,2,0,2,0,11.8,0.27,-4.2,-0.7,37,92,40.2,186,44,34.9,32.8,80,5,6.3,5,0.8300000000000001,13.7,20,6,84,52,42,37,5,90,31.1,62,64,26,38,75,159,121,5,13.333333333333334,14,12.5,26.5,7,0.8333333333333334,Underperformed,0.6190476190476191
Galatasaray,18/19,GR,1,6,6,540,6,8,1.33,24,17,70.8,1,1,4,2,33.3,1,1,0,0,1,6,8,1,0,1,1,9.2,0.33999999999999997,2.2,0.36,42,107,39.3,174,24,44.8,37.2,74,10,13.5,7,1.1700000000000002,13.8,21,6,119,72,57,51,11,82,53.7,38,73,22,51,51,170,108,4,12.333333333333334,19.833333333333332,8.5,28.333333333333332,9.5,1.8333333333333333,Overperformed,0.6050420168067226
Young Boys,18/19,GR,2,6,6,540,6,12,2,30,18,63.3,1,1,4,0,0,1,1,0,0,2,6,12,1,0,0,0,11.1,0.33999999999999997,-0.9,-0.15000000000000002,63,149,42.3,171,29,57.3,45,102,1,1,2,0.32999999999999996,10.8,20,6,132,70,65,49,18,108,42.6,62,68,22,46,74,206,138,2,17,22,12.333333333333334,34.333333333333336,10.833333333333334,3,Underperformed,0.5303030303030303
Red Star,18/19,GR,1,6,6,540,6,17,2.8299999999999996,56,38,71.4,1,1,4,2,33.3,2,1,1,0,1,6,17,1,2,1,0,18.7,0.3,1.7,0.28,47,136,34.6,155,25,57.4,43.4,99,4,4,6,1,14.1,20,6,86,48,53,27,6,90,33.3,60,77,25,52,109,195,206,4,16.5,14.333333333333334,18.166666666666668,32.5,8.833333333333334,1,Overperformed,0.5581395348837209
Hoffenheim,18/19,GR,1,6,6,540,6,14,2.3299999999999996,43,29,67.4,0,3,3,0,0,0,0,0,0,1,6,14,0,1,1,0,15.7,0.37,1.7,0.29000000000000004,37,85,43.5,165,28,31.5,31,68,2,2.9,8,1.33,19.1,25,6,119,62,75,31,13,123,41.5,72,65,21,44,54,173,89,6,11.333333333333334,19.833333333333332,9,28.833333333333332,12.5,2.1666666666666665,Overperformed,0.5210084033613446
Loko Moscow,18/19,GR,1,6,6,540,6,12,2,33,21,69.7,1,0,5,1,16.7,2,2,0,0,1,6,12,2,1,3,0,8,0.18,-4,-0.6599999999999999,43,111,38.7,140,31,55,39.8,93,10,10.8,2,0.32999999999999996,10.4,19,6,114,80,56,46,12,106,40.6,63,72,24,48,93,207,141,4,15.5,19,15.5,34.5,9.333333333333334,2,Underperformed,0.7017543859649122
PSV Eindhoven,18/19,GR,1,6,6,540,6,13,2.17,50,37,74,0,2,4,0,0,0,0,0,0,1,6,13,0,1,0,0,13.1,0.26,0.1,0.02,63,134,47,126,21,61.1,42.3,119,3,2.5,2,0.32999999999999996,10.2,18,6,89,47,56,22,11,102,31.4,70,95,45,50,73,162,220,2,19.833333333333332,14.833333333333334,12.166666666666666,27,9.333333333333334,1.8333333333333333,Overperformed,0.5280898876404494
Monaco,18/19,GR,3,6,6,540,6,14,2.3299999999999996,28,14,53.6,0,1,5,0,0,2,1,0,1,3,6,14,1,0,1,0,12,0.4,-2,-0.32999999999999996,28,58,48.3,112,18,34.8,28.7,72,3,4.2,5,0.8300000000000001,12,29,6,87,52,46,36,5,65,38.5,40,60,8,52,66,153,125,3,12,14.5,11,25.5,7.666666666666667,0.8333333333333334,Underperformed,0.5977011494252874
AEK Athens,18/19,GR,1,6,6,540,6,13,2.17,40,27,72.5,0,0,6,0,0,2,2,0,0,1,6,13,2,1,3,0,15.2,0.33999999999999997,2.2,0.37,66,145,45.5,155,16,69,44.5,116,5,4.3,2,0.32999999999999996,10.6,20,6,95,67,57,33,5,86,37.2,54,60,24,36,90,185,138,2,19.333333333333332,15.833333333333334,15,30.833333333333332,9.5,0.8333333333333334,Overperformed,0.7052631578947368
