Squad,Year,Rank,# Pl.x,90s.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y,90s.y,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance
Beşiktaş,21/22,GR,26,6,86,14.33,55,12,5,7,6,1,5,0.8300000000000001,26,6,3,48,11,22.9,8,1.83,0.04,0.18,16,1,1,1,6.2,5.4,0.11,-3.2,-3.4,0.13953488372093023,Underperformed
Chelsea,20/21,W,24,13,263,20.23,210,13,16,10,11,3,42,3.23,24,13,23,140,52,37.1,10.77,4,0.13,0.35,16.5,2,5,6,26,21.3,0.16,-3,-3.3,0.049429657794676805,Underperformed
Manchester City,20/21,F,25,13,292,22.459999999999997,221,13,26,16,10,6,43,3.3099999999999996,25,13,24,167,71,42.5,12.850000000000001,5.46,0.13,0.31,17.1,7,2,2,22.5,21,0.13,1.5,1,0.04452054794520548,Overperformed
Real Madrid,20/21,SF,25,12,282,23.5,222,19,11,16,10,4,32,2.67,25,12,18,161,61,37.9,13.42,5.08,0.1,0.26,17.9,2,2,2,19.2,17.6,0.11,-1.2,-1.6,0.0673758865248227,Underperformed
Paris S-G,20/21,SF,23,12,247,20.58,174,15,30,14,13,1,37,3.08,23,12,21,140,47,33.6,11.67,3.92,0.13,0.38,17.4,6,3,4,21.4,18.3,0.13,-0.4,-0.3,0.06072874493927125,Underperformed
Bayern Munich,20/21,QF,26,10,293,29.3,210,21,24,14,15,9,45,4.5,26,10,25,162,57,35.2,16.2,5.7,0.14,0.39,18.1,8,3,3,21.8,19.4,0.12000000000000001,3.2,2.6,0.07167235494880546,Overperformed
Liverpool,20/21,QF,29,10,182,18.2,137,19,16,5,4,1,22,2.2,29,10,14,109,43,39.4,10.9,4.3,0.12000000000000001,0.3,16.2,1,1,1,14.7,14,0.13,-0.7,-1,0.1043956043956044,Underperformed
Porto,20/21,QF,26,10.3,134,12.97,86,19,11,7,10,1,24,2.32,26,10.3,15,79,35,44.3,7.6499999999999995,3.3899999999999997,0.14,0.31,18.7,1,4,4,12.5,9.4,0.13,2.5,1.6,0.1417910447761194,Overperformed
Dortmund,20/21,QF,26,10,213,21.3,162,12,8,16,12,3,32,3.2,26,10,19,118,49,41.5,11.8,4.9,0.14,0.35,17.9,5,2,2,14.4,12.8,0.11,4.6,4.2,0.056338028169014086,Overperformed
Juventus,20/21,R16,22,8.3,214,25.68,164,18,13,10,8,1,30,3.6,22,8.3,17,122,48,39.3,14.639999999999999,5.76,0.12000000000000001,0.31,17.7,3,2,2,15.8,14.3,0.12000000000000001,1.2,0.7,0.08411214953271028,Overperformed
Barcelona,20/21,R16,27,8,266,33.25,211,9,17,7,19,3,35,4.37,27,8,18,137,55,40.1,17.12,6.87,0.09,0.22,18.5,8,6,7,20.4,15.4,0.11,-2.4,-3.4,0.03383458646616541,Underperformed
Sevilla,20/21,R16,25,8,225,28.130000000000003,158,30,9,9,18,1,21,2.62,25,8,13,128,49,38.3,16,6.119999999999999,0.09,0.24000000000000002,17.6,6,1,1,12.1,11.3,0.09,0.9,0.7,0.13333333333333333,Overperformed
RB Leipzig,20/21,R16,20,8,184,23,147,17,6,10,3,1,20,2.5,20,8,11,99,30,30.3,12.38,3.75,0.1,0.32999999999999996,17,0,1,1,10.6,9.8,0.1,0.4,0.2,0.09239130434782608,Overperformed
Atalanta,20/21,R16,25,8,151,18.87,117,12,8,7,6,1,21,2.62,25,8,11,91,41,45.1,11.370000000000001,5.119999999999999,0.12000000000000001,0.27,17.2,3,0,0,11.7,11.7,0.13,-0.7,-0.7,0.07947019867549669,Underperformed
Lazio,20/21,R16,25,8,167,20.87,122,11,11,11,10,2,23,2.8699999999999997,25,8,12,89,35,39.3,11.12,4.37,0.1,0.26,18.1,3,3,3,13.1,10.7,0.12000000000000001,-1.1,-1.7,0.0658682634730539,Underperformed
Atlético Madrid,20/21,R16,20,8,167,20.87,131,14,5,9,8,0,13,1.62,20,8,7,95,31,32.6,11.870000000000001,3.8699999999999997,0.07,0.23,18.1,3,0,0,9.2,9.2,0.1,-2.2,-2.2,0.08383233532934131,Underperformed
M'Gladbach,20/21,R16,21,8,135,16.88,97,10,5,10,9,4,28,3.5,21,8,15,73,31,42.5,9.12,3.8699999999999997,0.18,0.42000000000000004,17.1,5,2,2,11.6,10,0.14,3.4,3,0.07407407407407407,Overperformed
Manchester Utd,20/21,GR,23,6,152,25.330000000000002,100,17,13,12,9,1,25,4.17,23,6,14,82,32,39,13.67,5.33,0.12000000000000001,0.31,18.8,4,4,4,11.5,8.3,0.1,2.5,1.7,0.1118421052631579,Overperformed
Club Brugge,20/21,GR,22,6,93,15.5,70,5,4,8,4,2,13,2.17,22,6,8,54,16,29.6,9,2.67,0.11,0.38,17.2,2,2,2,8.5,6.9,0.15000000000000002,-0.5,-0.9,0.053763440860215055,Underperformed
Shakhtar,20/21,GR,23,6,74,12.33,55,3,6,5,4,1,6,1,23,6,4,41,17,41.5,6.83,2.8299999999999996,0.1,0.24000000000000002,20.3,1,0,0,4.7,4.7,0.12000000000000001,-0.7,-0.7,0.04054054054054054,Underperformed
Ajax,20/21,GR,21,6,123,20.5,105,1,6,6,4,1,12,2,21,6,7,69,28,40.6,11.5,4.67,0.09,0.21000000000000002,19.3,2,1,1,8.1,7.3,0.11,-1.1,-1.3,0.008130081300813009,Underperformed
Inter,20/21,GR,21,6,141,23.5,99,11,10,12,6,3,11,1.83,21,6,7,81,20,24.7,13.5,3.3299999999999996,0.09,0.35,15.4,5,0,0,8.3,8.3,0.11,-1.3,-1.3,0.07801418439716312,Underperformed
Krasnodar,20/21,GR,23,6,118,19.67,82,8,9,7,9,3,11,1.83,23,6,6,65,17,26.2,10.83,2.8299999999999996,0.08,0.29000000000000004,18.5,5,1,1,6.4,5.6,0.09,-0.4,-0.6,0.06779661016949153,Underperformed
RB Salzburg,20/21,GR,19,6,167,27.830000000000002,117,14,10,13,9,4,11,1.83,19,6,9,103,39,37.9,17.17,6.5,0.09,0.23,18,5,0,0,11.2,11.2,0.11,-2.2,-2.2,0.08383233532934131,Underperformed
Dynamo Kyiv,20/21,GR,22,6,67,11.17,49,5,3,5,3,2,6,1,22,6,4,43,21,48.8,7.17,3.5,0.07,0.14,17.3,2,1,1,6.3,5.6,0.13,-2.3,-2.6,0.07462686567164178,Underperformed
Loko Moscow,20/21,GR,22,6,74,12.33,55,8,3,2,6,0,9,1.5,22,6,5,39,15,38.5,6.5,2.5,0.08,0.2,18.8,1,2,2,4.9,3.3,0.08,0.1,-0.3,0.10810810810810811,Overperformed
Olympiacos,20/21,GR,21,6,73,12.17,55,7,4,4,3,0,3,0.5,21,6,2,44,10,22.7,7.33,1.6700000000000002,0.05,0.2,18.1,1,0,0,4.1,4.1,0.09,-2.1,-2.1,0.0958904109589041,Underperformed
Başakşehir,20/21,GR,21,6,106,17.67,83,4,8,3,7,1,11,1.83,21,6,7,64,22,34.4,10.67,3.67,0.11,0.32,19.8,6,0,0,5.2,5.2,0.08,1.8,1.8,0.03773584905660377,Overperformed
Marseille,20/21,GR,20,6,85,14.17,65,5,4,5,6,0,3,0.5,20,6,2,47,11,23.4,7.83,1.83,0,0,21,1,2,3,5.9,3.5,0.08,-3.9,-3.5,0.058823529411764705,Underperformed
Midtjylland,20/21,GR,22,6,102,17,61,13,7,8,10,3,8,1.33,22,6,4,61,21,34.4,10.17,3.5,0.03,0.1,17.9,3,2,2,7.1,5.5,0.09,-3.1,-3.5,0.12745098039215685,Underperformed
