Squad,Year,Rank,# Pl.x,Poss,90s.x,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y,90s.y,Cmp,Att.y,Cmp%,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90
Atalanta,19/20,QF,23,48.3,9,5349,472,1470,2530,1405,207,5344,149,92,61.7,57,38.3,3283,16536,8075,187,151,50,135,87,3390,332,23,9,3406,4327,78.7,56381,19444,9,10.8,9.2,-1.8,88,248,81,18,333,16.555555555555557,0.2748177229388671,0.4729856047859413,0.26266591886333895,9.777777777777779,2,37,20.77777777777778,16.555555555555557,163.33333333333334,281.1111111111111,156.11111111111111
Juventus,19/20,R16,23,59.4,8,6097,488,1505,3084,1555,149,6096,139,93,66.9,45,32.4,3313,18335,9880,196,159,38,100,57,4484,374,23,8,4500,5282,85.2,75892,24190,10,7.9,7.6,2.1,71,336,69,20,377,17.375,0.2468427095292767,0.505822535673282,0.2550434639986879,8.875,2.5,47.125,24.5,17.375,188.125,385.5,194.375
Napoli,19/20,R16,24,47.5,8,5135,586,1759,2354,1065,151,5131,127,72,56.7,55,43.3,2737,14173,7846,147,102,42,118,88,3452,312,24,8,3470,4229,82.1,58974,21041,6,8.3,6.5,-2.3,81,241,49,15,316,15.875,0.34255111976630964,0.45842259006815966,0.2074001947419669,10.125,1.875,39.5,18.375,15.875,219.875,294.25,133.125
Liverpool,19/20,R16,20,66.6,8.3,7146,364,1438,3695,2066,286,7146,203,131,64.5,72,35.5,4839,21502,11146,214,177,53,154,75,5213,562,20,8.3,5240,6282,83.4,92842,29463,11,12,11.8,-1,110,472,124,21,564,24.457831325301203,0.2012314581584103,0.5170724881052337,0.2891127903722362,13.25301204819277,2.5301204819277108,67.95180722891565,25.78313253012048,24.457831325301203,173.25301204819274,445.18072289156623,248.9156626506024
Dortmund,19/20,R16,24,51.8,8,5770,449,1724,2520,1576,215,5769,156,96,61.5,59,37.8,3538,17449,8535,174,149,53,104,83,4135,402,24,8,4169,4921,84.7,70364,22095,9,10.2,10.5,-1.2,74,281,77,12,406,19.5,0.29878682842287696,0.43674176776429807,0.2731369150779896,9.25,1.5,50.75,21.75,19.5,215.5,315,197
Real Madrid,19/20,R16,25,54.8,8,6067,521,1686,2662,1760,245,6066,155,97,62.6,58,37.4,3771,20974,10974,195,175,67,105,77,4478,409,25,8,4495,5226,86,76194,23894,14,13.5,11.4,0.5,113,328,100,20,410,19.375,0.2778968188561068,0.43876710070875224,0.29009395088181966,14.125,2.5,51.25,24.375,19.375,210.75,332.75,220
Valencia,19/20,R16,23,48.5,8,4791,612,1684,2158,1001,143,4788,122,66,54.1,56,45.9,2506,12769,6524,122,85,20,106,63,3010,304,23,8,3036,3863,78.6,56160,21381,9,10.8,9,-1.8,76,234,55,17,306,15.25,0.35149238154873724,0.4504278856188687,0.20893341682321018,9.5,2.125,38.25,15.25,15.25,210.5,269.75,125.125
Chelsea,19/20,R16,22,51.4,8,5160,458,1526,2403,1300,216,5157,191,133,69.6,58,30.4,3174,17493,9170,213,144,60,116,97,3516,354,22,8,3532,4286,82.4,60083,21247,7,12.5,9.5,-5.5,99,227,74,24,355,23.875,0.2957364341085271,0.46569767441860466,0.25193798449612403,12.375,3,44.375,26.625,23.875,190.75,300.375,162.5
Tottenham,19/20,R16,28,50,8,5209,514,1403,2680,1170,159,5207,197,111,56.3,86,43.7,3515,15844,8149,158,126,29,108,80,3530,295,28,8,3554,4312,82.4,57860,19706,15,11.6,9.5,3.4,75,217,74,18,298,24.625,0.26934152428489155,0.5144941447494721,0.22461124976003072,9.375,2.25,37.25,19.75,24.625,175.375,335,146.25
Ajax,19/20,GR,19,54.5,6,3968,374,1173,1768,1078,162,3968,93,61,65.6,32,34.4,2704,12766,6909,122,101,30,86,66,2574,272,19,6,2592,3278,79.1,40831,15061,10,6.8,7.2,3.2,62,189,70,15,273,15.5,0.2956149193548387,0.44556451612903225,0.2716733870967742,10.333333333333334,2.5,45.5,20.333333333333332,15.5,195.5,294.6666666666667,179.66666666666666
