Squad,Year,Rank,# Pl.x,Poss,90s.x,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y,90s.y,Cmp,Att.y,Cmp%,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90
Manchester City,22/23,W,23,59.8,13,9902,650,2217,4861,2903,371,9897,256,151,59,68,26.6,6338,33355,18299,332,263,95,135,98,7628,634,23,13,7695,8736,88.1,133458,36726,23,17.8,17,5.2,164,648,128,30,644,19.692307692307693,0.22389416279539487,0.49091092708543727,0.2931730963441729,12.615384615384615,2.3076923076923075,49.53846153846154,25.53846153846154,19.692307692307693,170.53846153846155,373.9230769230769,223.30769230769232
Inter,22/23,F,22,45.6,13,7429,1028,2866,2971,1661,270,7428,163,78,47.9,62,38,4207,20379,10227,204,163,39,163,106,4747,436,22,13,4784,6011,79.6,91946,34311,17,14.3,13.4,2.7,123,336,93,32,440,12.538461538461538,0.3857854354556468,0.39991923542872526,0.22358325481222238,9.461538461538462,2.4615384615384617,33.84615384615385,15.692307692307692,12.538461538461538,220.46153846153845,228.53846153846155,127.76923076923077
Real Madrid,22/23,SF,22,53.7,12,8840,845,2587,3955,2376,309,8837,270,120,44.4,113,41.9,5616,29146,14677,284,207,94,140,86,6617,492,22,12,6655,7601,87.6,103798,32798,21,17.2,19.1,3.8,147,496,104,22,494,22.5,0.2926470588235294,0.4473981900452489,0.2687782805429864,12.25,1.8333333333333333,41.166666666666664,23.666666666666668,22.5,215.58333333333334,329.5833333333333,198
Milan,22/23,SF,23,48,12,6736,739,2282,3104,1426,231,6733,266,115,43.2,112,42.1,3683,21372,11242,217,145,57,183,121,4253,366,23,12,4306,5392,79.9,80341,29115,9,11.3,11,-2.3,99,311,77,26,378,22.166666666666668,0.3387767220902613,0.46080760095011875,0.21169833729216153,8.25,2.1666666666666665,31.5,18.083333333333332,22.166666666666668,190.16666666666666,258.6666666666667,118.83333333333333
Bayern Munich,22/23,QF,24,56.1,10,7288,705,2305,3211,1838,294,7287,232,121,52.2,88,37.9,4893,25909,13199,249,162,64,155,114,5241,538,24,10,5277,6096,86.6,92687,30813,19,15.5,13.5,3.5,129,464,106,11,541,23.2,0.31627332601536773,0.44058726673984633,0.2521953896816685,12.9,1.1,54.1,24.9,23.2,230.5,321.1,183.8
Napoli,22/23,QF,22,56.4,10,6947,633,2106,3408,1519,298,6939,248,114,46,95,38.3,4691,23225,12389,260,166,80,138,82,4908,415,22,10,4938,5849,84.4,79554,26691,20,15.7,15.1,4.3,136,326,89,20,419,24.8,0.30315243990211604,0.4905714696991507,0.21865553476320715,13.6,2,41.9,26,24.8,210.6,340.8,151.9
Benfica,22/23,QF,24,52.9,10,6876,588,1981,3199,1777,254,6871,201,99,49.3,85,42.3,4463,22971,11004,187,182,43,155,83,4804,449,24,10,4832,5740,84.2,82686,26948,16,12,12.5,4,103,373,99,18,455,20.1,0.2881035485747528,0.4652414194299011,0.258435136707388,10.3,1.8,45.5,18.7,20.1,198.1,319.9,177.7
Chelsea,22/23,QF,26,57.3,10,7105,539,1883,3368,1928,272,7103,208,89,42.8,90,43.3,5033,23433,11627,211,220,47,153,91,4985,510,26,10,5015,5977,83.9,83375,27690,7,11.8,13.4,-4.8,115,418,105,16,512,20.8,0.2650246305418719,0.4740323715693174,0.2713581984517945,11.5,1.6,51.2,21.1,20.8,188.3,336.8,192.8
Liverpool,22/23,R16,25,54.9,8,5473,397,1444,2578,1500,257,5472,148,62,41.9,68,45.9,3020,15605,7685,150,132,48,133,85,3756,399,25,8,3786,4628,81.8,64379,23190,15,10.8,11.7,4.2,103,305,101,16,407,18.5,0.26384067239174125,0.4710396491869176,0.2740727206285401,12.875,2,50.875,18.75,18.5,180.5,322.25,187.5
Paris S-G,22/23,R16,21,56.8,8,5947,558,1832,2760,1411,210,5946,202,99,49,74,36.6,4836,26522,12412,184,197,55,102,91,4543,351,21,8,4570,5187,88.1,68541,22084,12,7.1,8.6,4.9,70,311,89,8,352,25.25,0.30805448125105095,0.4640995459895746,0.2372624852866992,8.75,1,44,23,25.25,229,345,176.375
Porto,22/23,R16,24,47.5,8,4608,613,1703,1929,1025,215,4605,145,62,42.8,65,44.8,2839,13925,7253,144,83,41,126,53,2832,248,24,8,2857,3703,77.2,51436,19403,7,10.6,8.6,-3.6,85,173,60,16,249,18.125,0.3695746527777778,0.4186197916666667,0.2224392361111111,10.625,2,31.125,18,18.125,212.875,241.125,128.125
RB Leipzig,22/23,R16,22,50,8,5175,543,1698,2323,1190,175,5175,112,58,51.8,39,34.8,3642,17613,8524,126,109,33,113,62,3740,335,22,8,3767,4438,84.9,63764,20326,12,10.2,10.2,1.8,74,270,88,17,336,14,0.32811594202898553,0.4488888888888889,0.22995169082125605,9.25,2.125,42,15.75,14,212.25,290.375,148.75
Dortmund,22/23,R16,26,47.9,8,5038,598,1815,2230,1047,162,5038,160,69,43.1,74,46.3,3162,16843,8732,159,124,45,104,71,3365,299,26,8,3388,4123,82.2,57515,19809,10,8.8,7.3,1.2,74,227,57,6,300,20,0.36026200873362446,0.4426359666534339,0.20782056371576021,9.25,0.75,37.5,19.875,20,226.875,278.75,130.875
Tottenham,22/23,R16,25,50.6,8,5113,491,1547,2430,1175,166,5111,135,52,38.5,54,40,3027,16071,7784,152,114,27,113,62,3431,353,25,8,3459,4270,81,60303,21384,7,7.5,8.5,-0.5,71,268,67,16,355,16.875,0.3025620966164678,0.4752591433600626,0.22980637590455702,8.875,2,44.375,19,16.875,193.375,303.75,146.875
Club Brugge,22/23,R16,25,45.6,8,4651,615,1704,2088,900,105,4649,153,67,43.8,68,44.4,3048,16394,6987,109,77,27,93,70,2949,238,25,8,2998,3805,78.8,57815,20432,7,5.2,4.1,1.8,47,193,39,10,239,19.125,0.3663728230488067,0.44893571274994626,0.1935067727370458,5.875,1.25,29.875,13.625,19.125,213,261,112.5
Eint Frankfurt,22/23,R16,22,43.3,8,4589,441,1570,2170,891,125,4588,130,44,33.8,70,53.8,2613,13679,6578,140,104,25,120,87,2798,256,22,8,2827,3691,76.6,47000,16909,5,5.5,5,-0.5,51,190,37,4,258,16.25,0.3421224667683591,0.47286990629766834,0.19415994770102418,6.375,0.5,32.25,17.5,16.25,196.25,271.25,111.375
Barcelona,22/23,GR,26,64.8,6,4658,323,977,2308,1402,194,4658,130,51,39.2,65,50,3126,16679,8903,167,135,36,84,63,3448,357,26,6,3476,4033,86.2,59905,19061,10,8.2,10.5,1.8,71,343,84,18,358,21.666666666666668,0.20974667239158437,0.49549162730785745,0.30098754830399316,11.833333333333334,3,59.666666666666664,27.833333333333332,21.666666666666668,162.83333333333334,384.6666666666667,233.66666666666666
Sporting CP,22/23,GR,25,45.3,6,3470,572,1549,1484,469,67,3470,108,49,45.4,47,43.5,2097,9705,4974,78,56,16,90,88,2240,138,25,6,2250,2812,80,40741,13062,5,3,2.5,2,33,95,20,4,139,18,0.4463976945244957,0.4276657060518732,0.1351585014409222,5.5,0.6666666666666666,23.166666666666668,13,18,258.1666666666667,247.33333333333334,78.16666666666667
Marseille,22/23,GR,19,59.2,6,4280,266,918,2187,1209,111,4279,119,46,38.7,63,52.9,3299,18102,8568,129,134,19,102,60,3051,323,19,6,3072,3647,84.2,55131,15761,6,5.3,4.9,0.7,54,306,46,11,324,19.833333333333332,0.2144859813084112,0.5109813084112149,0.2824766355140187,9,1.8333333333333333,54,21.5,19.833333333333332,153,364.5,201.5
Shakhtar,22/23,GR,20,42.3,6,3603,658,1828,1401,396,64,3603,103,32,31.1,57,55.3,2274,11751,5899,104,68,19,71,52,2444,139,20,6,2461,2927,84.1,41792,14439,7,3,3.1,4,32,100,18,4,140,17.166666666666668,0.5073549819594783,0.38884263114071604,0.10990840965861781,5.333333333333333,0.6666666666666666,23.333333333333332,17.333333333333332,17.166666666666668,304.6666666666667,233.5,66
RB Salzburg,22/23,GR,19,40,6,3016,338,873,1411,779,108,3015,100,33,33,52,52,1681,9870,4686,86,78,20,112,63,1512,169,19,6,1527,2223,68.7,26035,11972,3,5.9,4.8,-2.9,58,127,43,13,171,16.666666666666668,0.28945623342175064,0.46783819628647216,0.258289124668435,9.666666666666666,2.1666666666666665,28.5,14.333333333333334,16.666666666666668,145.5,235.16666666666666,129.83333333333334
Ajax,22/23,GR,19,53.2,6,4006,479,1360,1802,871,138,4005,89,39,43.8,35,39.3,2570,10632,5067,80,68,20,83,52,2806,231,19,6,2834,3385,83.7,48341,15879,9,6.3,6.2,2.7,53,210,65,15,234,14.833333333333334,0.33949076385421867,0.44982526210683976,0.21742386420369444,8.833333333333334,2.5,39,13.333333333333334,14.833333333333334,226.66666666666666,300.3333333333333,145.16666666666666
Atlético Madrid,22/23,GR,22,56.5,6,4301,288,1098,2077,1153,148,4299,89,40,44.9,42,47.2,2849,13512,6392,111,104,27,86,59,3024,281,22,6,3047,3674,82.9,51306,16783,3,5.3,4.7,-2.3,65,235,58,19,286,14.833333333333334,0.2552894675656824,0.4829109509416415,0.2680771913508486,10.833333333333334,3.1666666666666665,47.666666666666664,18.5,14.833333333333334,183,346.1666666666667,192.16666666666666
Leverkusen,22/23,GR,20,51.3,6,3905,382,1232,1865,835,135,3903,97,41,42.3,43,44.3,2045,12557,7070,138,93,42,93,49,2645,258,20,6,2663,3241,82.2,45432,16050,4,6.3,6.1,-2.3,60,208,55,9,260,16.166666666666668,0.3154929577464789,0.47759282970550576,0.21382842509603073,10,1.5,43.333333333333336,23,16.166666666666668,205.33333333333334,310.8333333333333,139.16666666666666
Sevilla,22/23,GR,24,50.7,6,3745,455,1427,1531,806,102,3745,79,34,43,33,41.8,2092,9099,4185,74,60,18,73,43,2611,230,24,6,2635,3189,82.6,48400,15877,5,4,4.4,1,50,161,43,9,233,13.166666666666666,0.38104138851802405,0.4088117489986649,0.21522029372496662,8.333333333333334,1.5,38.833333333333336,12.333333333333334,13.166666666666666,237.83333333333334,255.16666666666666,134.33333333333334
Dinamo Zagreb,22/23,GR,20,46.8,6,3485,538,1444,1430,643,78,3485,89,36,40.4,43,48.3,2216,11635,5843,107,87,15,93,69,2217,194,20,6,2232,2821,79.1,40331,15054,2,3.2,3.3,-1.2,41,129,37,11,194,14.833333333333334,0.4143472022955524,0.4103299856527977,0.18450502152080345,6.833333333333333,1.8333333333333333,32.333333333333336,17.833333333333332,14.833333333333334,240.66666666666666,238.33333333333334,107.16666666666667
Juventus,22/23,GR,26,48.3,6,3720,364,1025,1767,960,127,3720,100,42,42,40,40,2304,11852,5940,120,97,31,75,68,2538,275,26,6,2553,3100,82.4,47736,16403,8,7,4.9,1,58,239,48,15,277,16.666666666666668,0.27553763440860213,0.475,0.25806451612903225,9.666666666666666,2.5,46.166666666666664,20,16.666666666666668,170.83333333333334,294.5,160
FC Copenhagen,22/23,GR,25,37.7,6,3102,397,1238,1273,620,97,3102,95,41,43.2,40,42.1,1371,8191,4190,73,52,21,64,36,1931,141,25,6,1950,2478,78.7,34295,11982,1,3.5,3.3,-2.5,38,127,27,6,142,15.833333333333334,0.39909735654416506,0.4103803997421019,0.19987105093488072,6.333333333333333,1,23.666666666666668,12.166666666666666,15.833333333333334,206.33333333333334,212.16666666666666,103.33333333333333
Maccabi Haifa,22/23,GR,20,43.3,6,3364,376,1087,1578,743,101,3363,101,43,42.6,45,44.6,2212,12095,5961,107,97,22,82,55,2159,210,20,6,2173,2698,80.5,36803,13241,6,5.2,4.5,0.8,64,150,41,11,213,16.833333333333332,0.3231272294887039,0.4690844233055886,0.2208680142687277,10.666666666666666,1.8333333333333333,35.5,17.833333333333332,16.833333333333332,181.16666666666666,263,123.83333333333333
Celtic,22/23,GR,22,44.2,6,3833,317,1046,1780,1035,141,3832,76,34,44.7,30,39.5,2677,13492,6993,98,76,15,79,69,2708,300,22,6,2714,3217,84.4,47286,16001,1,6.6,7.4,-5.6,63,236,75,24,300,12.666666666666666,0.27289329506913645,0.4643882076702322,0.270023480302635,10.5,4,50,16.333333333333332,12.666666666666666,174.33333333333334,296.6666666666667,172.5
Viktoria Plzeň,22/23,GR,22,29.5,6,2475,403,1000,919,585,98,2474,70,24,34.3,37,52.9,1135,5833,2672,69,38,9,74,55,1314,125,22,6,1328,1806,73.5,26820,13246,4,3.5,3.8,0.5,46,129,40,17,127,11.666666666666666,0.40404040404040403,0.3713131313131313,0.23636363636363636,7.666666666666667,2.8333333333333335,21.166666666666668,11.5,11.666666666666666,166.66666666666666,153.16666666666666,97.5
Rangers,22/23,GR,22,38.5,6,3046,455,1224,1291,561,68,3045,89,30,33.7,50,56.2,1707,8592,3860,62,51,17,82,54,1838,137,22,6,1850,2452,75.4,33043,11529,1,2.7,2.3,-1.7,30,118,20,13,139,14.833333333333334,0.40183847669074196,0.4238345370978332,0.18417596848325674,5,2.1666666666666665,23.166666666666668,10.333333333333334,14.833333333333334,204,215.16666666666666,93.5
Real Madrid,21/22,W,25,51.1,13.7,9305,1023,3127,3737,2521,348,9302,239,136,56.9,103,43.1,5287,29734,15396,289,223,79,154,115,6725,547,25,13.7,6773,7907,85.7,110520,34445,21,15.7,16.5,5.3,144,471,140,23,552,17.445255474452555,0.33605588393336916,0.4016120365394949,0.2709296077377754,10.51094890510949,1.6788321167883213,40.29197080291971,21.094890510948908,17.445255474452555,228.24817518248176,272.77372262773724,184.01459854014598
Liverpool,21/22,F,28,61.8,13,10137,637,2450,5012,2772,403,10135,304,164,53.9,139,45.7,5949,28807,14815,291,244,96,249,125,7272,734,28,13,7308,8675,84.2,125865,43721,21,20.6,17.1,0.4,168,633,145,28,740,23.384615384615383,0.24168886258261812,0.49442635888329883,0.27345368452204794,12.923076923076923,2.1538461538461537,56.92307692307692,22.384615384615383,23.384615384615383,188.46153846153845,385.53846153846155,213.23076923076923
Manchester City,21/22,SF,26,60.1,12.3,9140,613,2049,4437,2720,383,9138,226,135,59.7,91,40.3,6635,33533,18924,338,275,85,157,92,6906,750,26,12.3,6979,8008,87.2,121207,37364,23,20.3,19,2.7,151,667,161,16,757,18.373983739837396,0.22417943107221006,0.4854485776805252,0.2975929978118162,12.276422764227641,1.3008130081300813,61.544715447154466,27.479674796747965,18.373983739837396,166.58536585365852,360.73170731707313,221.1382113821138
Villarreal,21/22,SF,25,43.2,12,6547,934,2523,2569,1516,208,6545,211,94,44.5,117,55.5,3473,18876,10004,184,130,51,191,104,3982,315,25,12,4060,5187,78.3,71760,26371,16,15.3,12.1,0.7,95,258,71,15,320,17.583333333333332,0.38536734382159765,0.39239346265465097,0.23155643806323506,7.916666666666667,1.25,26.666666666666668,15.333333333333334,17.583333333333332,210.25,214.08333333333334,126.33333333333333
Bayern Munich,21/22,QF,24,62.9,10,7713,559,2009,3459,2308,348,7709,236,162,68.6,74,31.4,5223,25172,13674,238,195,63,158,86,5656,701,24,10,5697,6637,85.8,100704,35472,23,18.7,16.6,4.3,143,586,149,31,705,23.6,0.26046933748217294,0.4484636328276935,0.29923505769480097,14.3,3.1,70.5,23.8,23.6,200.9,345.9,230.8
Chelsea,21/22,QF,24,61,10.3,7885,440,1665,3731,2560,309,7883,195,108,55.4,87,44.6,4657,23506,12819,226,237,39,152,93,5853,568,24,10.3,5889,6826,86.3,93132,29284,15,15.4,16.3,-0.4,134,480,148,19,572,18.932038834951456,0.21116043119847813,0.47317691819911223,0.32466708941027267,13.009708737864077,1.8446601941747571,55.533980582524265,21.941747572815533,18.932038834951456,161.6504854368932,362.2330097087378,248.54368932038832
Benfica,21/22,QF,24,38.9,10,5209,751,2013,2190,1059,157,5208,201,108,53.7,93,46.3,2906,15253,7443,155,124,45,146,101,3102,277,24,10,3125,4035,77.4,55862,21599,10,8.6,5.6,1.4,76,222,45,11,278,20.1,0.38644653484354,0.4204261854482626,0.2033019773468996,7.6,1.1,27.8,15.5,20.1,201.3,219,105.9
Atlético Madrid,21/22,QF,22,40.6,10,4965,573,1717,2207,1092,177,4964,134,78,58.2,56,41.8,2580,13669,7225,161,111,40,135,90,2925,283,22,10,2953,3955,74.7,50825,19634,8,8.7,7.9,-0.7,68,197,56,11,284,13.4,0.3458207452165156,0.4445115810674723,0.21993957703927491,6.8,1.1,28.4,16.1,13.4,171.7,220.7,109.2
Ajax,21/22,R16,21,61.4,8,5808,416,1413,2600,1843,305,5807,157,82,52.2,74,47.1,3721,17529,9217,179,117,39,119,66,4140,505,21,8,4186,4952,84.5,69706,24237,16,14.1,13.7,1.9,107,344,146,27,509,19.625,0.24328512396694216,0.4476584022038568,0.3173209366391185,13.375,3.375,63.625,22.375,19.625,176.625,325,230.375
Juventus,21/22,R16,28,51.5,8,5368,490,1566,2628,1211,179,5366,106,67,63.2,39,36.8,3045,14874,7748,153,116,37,123,66,3768,312,28,8,3798,4501,84.4,67637,21193,6,9.7,9,-3.7,84,320,70,18,317,13.25,0.2917287630402384,0.48956780923994037,0.22559612518628913,10.5,2.25,39.625,19.125,13.25,195.75,328.5,151.375
Paris S-G,21/22,R16,21,54.9,8,5796,717,1998,2661,1183,171,5792,188,113,60.1,75,39.9,3146,17376,9071,166,137,61,115,85,4265,274,21,8,4292,4901,87.6,62993,21409,8,9.6,8.3,-1.6,70,230,51,4,275,23.5,0.3447204968944099,0.4591097308488613,0.2041062801932367,8.75,0.5,34.375,20.75,23.5,249.75,332.625,147.875
Inter,21/22,R16,22,49.1,8,5033,573,1670,2147,1254,213,5033,93,44,47.3,49,52.7,3117,15325,8012,146,92,33,105,49,3493,386,22,8,3535,4237,83.4,63351,21912,6,9.4,9.4,-3.4,100,302,83,26,389,11.625,0.3318100536459368,0.4265845420226505,0.24915557321676932,12.5,3.25,48.625,18.25,11.625,208.75,268.375,156.75
Manchester Utd,21/22,R16,31,53.9,8,5302,451,1556,2571,1222,137,5302,131,68,51.9,63,48.1,2712,14508,7451,133,101,27,140,56,3657,314,31,8,3690,4474,82.5,65094,20999,11,7.4,7.8,3.6,62,267,59,12,314,16.375,0.2934741606940777,0.48491135420596,0.23047906450396077,7.75,1.5,39.25,16.625,16.375,194.5,321.375,152.75
Lille,21/22,R16,23,46.8,8,4567,417,1404,2209,1005,133,4565,172,99,57.6,73,42.4,2247,12562,6140,129,81,32,155,70,2811,281,23,8,2837,3691,76.9,50252,18323,4,5.7,4.6,-1.7,58,227,47,14,283,21.5,0.30742281585285747,0.48368732209327786,0.22005693015108385,7.25,1.75,35.375,16.125,21.5,175.5,276.125,125.625
RB Salzburg,21/22,R16,21,44.4,8,4325,419,1457,1857,1068,119,4320,140,69,49.3,71,50.7,2162,11009,6036,127,79,39,158,59,2433,292,21,8,2457,3368,73,44588,18082,6,6.1,3.9,-0.1,55,237,36,2,293,17.5,0.336878612716763,0.429364161849711,0.24693641618497109,6.875,0.25,36.625,15.875,17.5,182.125,232.125,133.5
Sporting CP,21/22,R16,27,41.4,8,4220,609,1690,1905,676,128,4217,127,70,55.1,57,44.9,2342,12181,6159,126,79,35,131,68,2610,227,27,8,2626,3338,78.7,46252,16769,10,8,7.1,2,56,139,37,11,228,15.875,0.4004739336492891,0.4514218009478673,0.16018957345971563,7,1.375,28.5,15.75,15.875,211.25,238.125,84.5
Dortmund,21/22,GR,23,51.8,6,4022,341,1092,1933,1040,155,4020,141,92,65.2,49,34.8,2566,13434,7220,137,97,40,78,59,2735,252,23,6,2759,3376,81.7,45699,15694,8,9.1,7.9,-1.1,64,201,52,10,254,23.5,0.2715067130780706,0.4806066633515664,0.2585778219791149,10.666666666666666,1.6666666666666667,42.333333333333336,22.833333333333332,23.5,182,322.1666666666667,173.33333333333334
RB Leipzig,21/22,GR,23,49,6,3583,388,1173,1495,940,170,3580,79,45,57,34,43,1599,8863,4428,88,81,29,80,58,2271,242,23,6,2288,2923,78.3,38913,15225,13,9.6,8.4,3.4,66,187,63,11,244,13.166666666666666,0.3273792910968462,0.4172481161038236,0.26234998604521353,11,1.8333333333333333,40.666666666666664,14.666666666666666,13.166666666666666,195.5,249.16666666666666,156.66666666666666
Sheriff Tiraspol,21/22,GR,19,29.8,6,2580,526,1279,869,467,65,2580,85,51,60,34,40,1487,8270,4384,89,59,19,87,59,1354,99,19,6,1368,1834,74.6,26046,10729,5,3.4,2.7,1.6,39,82,23,10,100,14.166666666666666,0.49573643410852714,0.3368217054263566,0.1810077519379845,6.5,1.6666666666666667,16.666666666666668,14.833333333333334,14.166666666666666,213.16666666666666,144.83333333333334,77.83333333333333
Barcelona,21/22,GR,23,57.8,6,4303,331,1036,2168,1140,144,4303,113,77,68.1,36,31.9,2723,13501,7284,142,124,35,91,80,3166,305,23,6,3185,3747,85,53967,17042,1,5.5,7,-4.5,54,232,57,15,309,18.833333333333332,0.2407622588891471,0.5038345340460144,0.26493144317917733,9,2.5,51.5,23.666666666666668,18.833333333333332,172.66666666666666,361.3333333333333,190
Sevilla,21/22,GR,22,60.5,6,4134,350,1404,1741,1013,115,4132,134,65,48.5,69,51.5,2445,10226,4994,87,75,19,95,48,2807,295,22,6,2825,3515,80.4,55879,18552,3,4.3,5.1,-1.3,52,218,48,17,297,22.333333333333332,0.33962264150943394,0.4211417513304306,0.24504112239961295,8.666666666666666,2.8333333333333335,49.5,14.5,22.333333333333332,234,290.1666666666667,168.83333333333334
Atalanta,21/22,GR,21,52,6,3891,301,1142,1646,1137,148,3891,108,50,46.3,58,53.7,2151,11339,5609,133,101,40,134,65,2514,259,21,6,2537,3168,80.1,45131,15818,11,8.8,6.8,2.2,65,199,56,13,262,18,0.29349781547160114,0.4230274993574916,0.29221279876638395,10.833333333333334,2.1666666666666665,43.666666666666664,22.166666666666668,18,190.33333333333334,274.3333333333333,189.5
Zenit,21/22,GR,21,45.7,6,3580,372,1149,1587,881,146,3579,71,44,62,27,38,2196,10438,5408,87,81,20,100,33,2421,224,21,6,2433,2956,82.3,42186,14420,6,6.8,7.8,-0.8,61,164,59,17,225,11.833333333333334,0.32094972067039107,0.4432960893854749,0.24608938547486034,10.166666666666666,2.8333333333333335,37.5,14.5,11.833333333333334,191.5,264.5,146.83333333333334
Young Boys,21/22,GR,24,50,6,3613,352,1295,1553,806,117,3613,118,54,45.8,64,54.2,2339,11515,5793,111,78,20,119,54,2323,241,24,6,2337,2925,79.9,46068,15665,4,5.7,4.3,-1.7,62,215,47,15,244,19.666666666666668,0.3584278992526986,0.42983670080265707,0.22308331026847494,10.333333333333334,2.5,40.666666666666664,18.5,19.666666666666668,215.83333333333334,258.8333333333333,134.33333333333334
Wolfsburg,21/22,GR,21,43.2,6,3196,412,1303,1371,567,66,3196,124,64,51.6,60,48.4,1608,8039,4222,79,54,15,121,42,1822,156,21,6,1840,2472,74.4,36001,14464,4,3.5,3.6,0.5,33,132,24,8,160,20.666666666666668,0.4076971214017522,0.42897371714643306,0.1774092615769712,5.5,1.3333333333333333,26.666666666666668,13.166666666666666,20.666666666666668,217.16666666666666,228.5,94.5
Porto,21/22,GR,22,47.8,6,3226,403,1106,1349,813,123,3225,102,51,50,51,50,1673,8807,4311,90,68,25,113,50,1911,155,22,6,1925,2550,75.5,36233,13408,3,5.7,5.4,-2.7,52,134,35,12,157,17,0.3428394296342219,0.4181649101053937,0.25201487910725356,8.666666666666666,2,26.166666666666668,15,17,184.33333333333334,224.83333333333334,135.5
Milan,21/22,GR,23,46.8,6,3367,425,1288,1478,648,94,3367,136,78,57.4,58,42.6,1684,10201,5178,91,86,20,118,68,2037,160,23,6,2056,2651,77.6,36630,14360,4,3.8,4.5,0.2,30,122,36,9,160,22.666666666666668,0.38253638253638256,0.43896643896643894,0.19245619245619244,5,1.5,26.666666666666668,15.166666666666666,22.666666666666668,214.66666666666666,246.33333333333334,108
Club Brugge,21/22,GR,21,38.8,6,3160,423,1183,1180,829,122,3160,130,83,63.8,47,36.2,1532,8348,4016,83,68,26,98,50,1779,204,21,6,1798,2466,72.9,31468,14027,5,4.5,3.8,0.5,40,129,41,7,208,21.666666666666668,0.37436708860759493,0.37341772151898733,0.26234177215189874,6.666666666666667,1.1666666666666667,34.666666666666664,13.833333333333334,21.666666666666668,197.16666666666666,196.66666666666666,138.16666666666666
Shakhtar,21/22,GR,25,58.8,6,4405,442,1191,2165,1078,140,4405,123,71,57.7,52,42.3,2989,15395,8760,146,119,39,86,59,3350,290,25,6,3389,3823,88.6,53950,17539,2,6.3,6.1,-4.3,65,267,47,3,291,20.5,0.2703745743473326,0.49148694665153236,0.24472190692395004,10.833333333333334,0.5,48.5,24.333333333333332,20.5,198.5,360.8333333333333,179.66666666666666
Dynamo Kyiv,21/22,GR,23,41.2,6,3389,486,1411,1293,715,96,3389,77,37,48.1,40,51.9,1730,8816,4542,82,63,18,95,32,2147,173,23,6,2161,2713,79.7,37772,13940,1,3,4,-2,31,123,43,6,175,12.833333333333334,0.41634700501622895,0.38152847447624666,0.21097668928887578,5.166666666666667,1,29.166666666666668,13.666666666666666,12.833333333333334,235.16666666666666,215.5,119.16666666666667
Malmö,21/22,GR,21,38,6,2992,442,1201,1369,441,36,2992,71,40,56.3,31,43.7,1900,8357,3417,53,36,8,78,80,1827,128,21,6,1838,2400,76.6,32001,11682,1,1.4,1.3,-0.4,29,100,20,8,131,11.833333333333334,0.40140374331550804,0.4575534759358289,0.14739304812834225,4.833333333333333,1.3333333333333333,21.833333333333332,8.833333333333334,11.833333333333334,200.16666666666666,228.16666666666666,73.5
Beşiktaş,21/22,GR,26,44.2,6,3409,434,1210,1647,581,86,3408,125,77,61.6,48,38.4,1719,8959,4483,98,69,23,112,73,2071,177,26,6,2092,2680,78.1,34605,14371,2,5,4.6,-3,37,129,35,12,177,20.833333333333332,0.354942798474626,0.48313288354356115,0.1704312114989733,6.166666666666667,2,29.5,16.333333333333332,20.833333333333332,201.66666666666666,274.5,96.83333333333333
Chelsea,20/21,W,24,51.8,13,8892,834,2640,4241,2085,268,8886,218,135,61.9,83,38.1,5291,24754,12995,254,215,77,208,104,6202,524,24,13,6232,7483,83.3,99615,33624,16,18.8,12.8,-2.8,117,386,107,22,526,16.76923076923077,0.2968960863697706,0.4769455690508322,0.2344804318488529,9,1.6923076923076923,40.46153846153846,19.53846153846154,16.76923076923077,203.07692307692307,326.2307692307692,160.3846153846154
Manchester City,20/21,F,25,60.2,13,10559,567,1913,5962,2764,380,10557,270,162,60,108,40,6689,32817,18288,322,291,92,153,117,8220,694,25,13,8282,9399,88.1,133374,37276,18,16.9,17.5,1.1,125,571,128,11,698,20.76923076923077,0.18117245951321148,0.564636802727531,0.2617672128042428,9.615384615384615,0.8461538461538461,53.69230769230769,24.76923076923077,20.76923076923077,147.15384615384616,458.61538461538464,212.6153846153846
Real Madrid,20/21,SF,25,57.6,12,9464,779,2526,4695,2321,302,9462,221,147,66.5,74,33.5,5869,29677,14611,281,213,84,151,101,7102,542,25,12,7142,8274,86.3,120434,35434,13,13.2,14.5,-0.2,131,493,114,21,546,18.416666666666668,0.2669061707523246,0.4960904480135249,0.2452451394759087,10.916666666666666,1.75,45.5,23.416666666666668,18.416666666666668,210.5,391.25,193.41666666666666
Paris S-G,20/21,SF,23,48.3,12,7686,980,2838,3474,1457,251,7682,297,175,58.9,122,41.1,4378,22437,11608,215,157,67,195,111,5161,394,23,12,5198,6236,83.4,80282,29918,16,15.1,11.7,0.9,105,290,84,12,402,24.75,0.3692427790788447,0.4519906323185012,0.18956544366380432,8.75,1,33.5,17.916666666666668,24.75,236.5,289.5,121.41666666666667
